Time X Y Z
151 4151984.173134414 -34284811.39517951 10399341.21266264
161 4118827.276047014 -34290171.34695225 10435041.722608
171 4085639.575765921 -34295285.37540629 10469757.02816913
181 4052421.417585562 -34300156.23761185 10503498.17458621
191 4019173.13745746 -34304786.6157311 10536275.90699034
201 3985895.062058175 -34309179.11785019 10568100.67375182
211 3952587.50888695 -34313336.27878305 10598982.62970167
221 3919250.786363163 -34317260.56085221 10628931.63925999
231 3885885.193921256 -34320954.35464734 10657957.27947447
241 3852491.022102965 -34324419.97976155 10686068.84297043
