Time X Y Z
151 28407971.87001757 14010356.28862906 16987411.19975045
161 28365471.89765379 14006100.8667923 17016413.2044319
171 28322633.8146804 14001679.52575977 17044304.30585407
181 28279461.41162464 13997094.12565762 17071096.9584674
191 28235958.37608412 13992346.47608244 17096803.27833656
201 28192128.29381718 13987438.33665408 17121435.04690386
211 28147974.64984363 13982371.4175573 17145003.7146208
221 28103500.82951773 13977147.3800685 17167520.40447544
231 28058710.11957088 13971767.83706743 17188995.91541854
241 28013605.70912402 13966234.35353397 17209440.72569004
