Time X Y Z
151 13200708.97520531 -8968960.975324867 32523382.55081494
161 13173545.81796743 -8973441.127368296 32573638.41194196
171 13146080.92686416 -8977718.459773524 32622251.11287364
181 13118317.68462013 -8981795.246371288 32669239.07525693
191 13090259.38209168 -8985673.699213574 32714620.22021668
201 13061909.21925154 -8989355.969259832 32758411.97393012
211 13033270.30617205 -8992844.147039933 32800631.27299893
221 13004345.6639828 -8996140.263298141 32841294.56966675
231 12975138.22580122 -8999246.289618647 32880417.83688698
241 12945650.83763603 -9002164.139032872 32918016.57324284
